
 Association for Target, Query With Target ID: ENSG00000197386 

Target ID: ENSG00000197386 	 Disease ID: EFO_0009386 	 Association_score Overall: 1.0
Target ID: ENSG00000197386 	 Disease ID: EFO_0005774 	 Association_score Overall: 1.0
Target ID: ENSG00000197386 	 Disease ID: EFO_0000618 	 Association_score Overall: 1.0
Target ID: ENSG00000197386 	 Disease ID: MONDO_0002025 	 Association_score Overall: 1.0
Target ID: ENSG00000197386 	 Disease ID: EFO_0000677 	 Association_score Overall: 1.0
Target ID: ENSG00000197386 	 Disease ID: EFO_1001457 	 Association_score Overall: 1.0
Target ID: ENSG00000197386 	 Disease ID: Orphanet_71859 	 Association_score Overall: 1.0
Target ID: ENSG00000197386 	 Disease ID: OTAR_0000018 	 Association_score Overall: 1.0
Target ID: ENSG00000197386 	 Disease ID: EFO_0000508 	 Association_score Overall: 1.0
Target ID: ENSG00000197386 	 Disease ID: EFO_0005772 	 Association_score Overall: 1.0
Target ID: ENSG00000197386 	 Disease ID: Orphanet_183500 	 Association_score Overall: 1.0
Target ID: ENSG00000197386 	 Disease ID: Orphanet_307061 	 Association_score Overall: 1.0
Target ID: ENSG00000197386 	 Disease ID: Orphanet_183521 	 Association_score Overall: 1.0
Target ID: ENSG00000197386 	 Disease ID: EFO_0004280 	 Association_score Overall: 1.0
Target ID: ENSG00000197386 	 Disease ID: MONDO_0001627 	 Association_score Overall: 1.0
Target ID: ENSG00000197386 	 Disease ID: Orphanet_158124 	 Association_score Overall: 1.0
Target ID: ENSG00000197386 	 Disease ID: Orphanet_276058 	 Association_score Overall: 1.0
Target ID: ENSG00000197386 	 Disease ID: MONDO_0000167 	 Association_score Overall: 1.0
Target ID: ENSG00000197386 	 Disease ID: Orphanet_399 	 Association_score Overall: 1.0
Target ID: ENSG00000197386 	 Disease ID: Orphanet_306719 	 Association_score Overall: 1.0
Target ID: ENSG00000197386 	 Disease ID: MONDO_0000429 	 Association_score Overall: 1.0
Target ID: ENSG00000197386 	 Disease ID: EFO_1000017 	 Association_score Overall: 1.0
Target ID: ENSG00000197386 	 Disease ID: EFO_0009904 	 Association_score Overall: 1.0
Target ID: ENSG00000197386 	 Disease ID: EFO_0005548 	 Association_score Overall: 1.0
Target ID: ENSG00000197386 	 Disease ID: EFO_0000474 	 Association_score Overall: 1.0
Target ID: ENSG00000197386 	 Disease ID: Orphanet_183512 	 Association_score Overall: 1.0
Target ID: ENSG00000197386 	 Disease ID: Orphanet_183757 	 Association_score Overall: 1.0
Target ID: ENSG00000197386 	 Disease ID: MONDO_0000508 	 Association_score Overall: 1.0
Target ID: ENSG00000197386 	 Disease ID: Orphanet_183763 	 Association_score Overall: 1.0
Target ID: ENSG00000197386 	 Disease ID: MONDO_0024458 	 Association_score Overall: 1.0
Target ID: ENSG00000197386 	 Disease ID: EFO_0003966 	 Association_score Overall: 1.0
Target ID: ENSG00000197386 	 Disease ID: Orphanet_101435 	 Association_score Overall: 1.0
Target ID: ENSG00000197386 	 Disease ID: Orphanet_183616 	 Association_score Overall: 1.0
Target ID: ENSG00000197386 	 Disease ID: Orphanet_306765 	 Association_score Overall: 1.0
Target ID: ENSG00000197386 	 Disease ID: MONDO_0020606 	 Association_score Overall: 1.0
Target ID: ENSG00000197386 	 Disease ID: MONDO_0000425 	 Association_score Overall: 1.0
Target ID: ENSG00000197386 	 Disease ID: Orphanet_98464 	 Association_score Overall: 1.0
Target ID: ENSG00000197386 	 Disease ID: Orphanet_166472 	 Association_score Overall: 1.0
Target ID: ENSG00000197386 	 Disease ID: MONDO_0100038 	 Association_score Overall: 1.0
Target ID: ENSG00000197386 	 Disease ID: Orphanet_98688 	 Association_score Overall: 1.0
Target ID: ENSG00000197386 	 Disease ID: Orphanet_248111 	 Association_score Overall: 1.0
Target ID: ENSG00000197386 	 Disease ID: MONDO_0000594 	 Association_score Overall: 1.0
Target ID: ENSG00000197386 	 Disease ID: Orphanet_168778 	 Association_score Overall: 1.0
Target ID: ENSG00000197386 	 Disease ID: EFO_0001444 	 Association_score Overall: 1.0
