
 Association for Disease, Query With Disease ID: Orphanet_399 

Target ID: ENSG00000197386 	 Disease ID: Orphanet_399 	 Association_score Overall: 1.0
Target ID: ENSG00000165646 	 Disease ID: Orphanet_399 	 Association_score Overall: 1.0
Target ID: ENSG00000198785 	 Disease ID: Orphanet_399 	 Association_score Overall: 1.0
Target ID: ENSG00000273079 	 Disease ID: Orphanet_399 	 Association_score Overall: 1.0
Target ID: ENSG00000183454 	 Disease ID: Orphanet_399 	 Association_score Overall: 1.0
Target ID: ENSG00000149295 	 Disease ID: Orphanet_399 	 Association_score Overall: 1.0
Target ID: ENSG00000176884 	 Disease ID: Orphanet_399 	 Association_score Overall: 1.0
Target ID: ENSG00000161509 	 Disease ID: Orphanet_399 	 Association_score Overall: 1.0
Target ID: ENSG00000116032 	 Disease ID: Orphanet_399 	 Association_score Overall: 1.0
Target ID: ENSG00000105464 	 Disease ID: Orphanet_399 	 Association_score Overall: 1.0
Target ID: ENSG00000144285 	 Disease ID: Orphanet_399 	 Association_score Overall: 0.75964375
Target ID: ENSG00000102468 	 Disease ID: Orphanet_399 	 Association_score Overall: 0.736111111111111
Target ID: ENSG00000151577 	 Disease ID: Orphanet_399 	 Association_score Overall: 0.731
Target ID: ENSG00000147246 	 Disease ID: Orphanet_399 	 Association_score Overall: 0.725
Target ID: ENSG00000069696 	 Disease ID: Orphanet_399 	 Association_score Overall: 0.725
Target ID: ENSG00000196876 	 Disease ID: Orphanet_399 	 Association_score Overall: 0.7
Target ID: ENSG00000185313 	 Disease ID: Orphanet_399 	 Association_score Overall: 0.7
Target ID: ENSG00000183873 	 Disease ID: Orphanet_399 	 Association_score Overall: 0.7
Target ID: ENSG00000169432 	 Disease ID: Orphanet_399 	 Association_score Overall: 0.7
Target ID: ENSG00000168356 	 Disease ID: Orphanet_399 	 Association_score Overall: 0.7
Target ID: ENSG00000153253 	 Disease ID: Orphanet_399 	 Association_score Overall: 0.7
